What's your favorite candy?,What is your favorite dinner?,Cats or Dogs?,Are you currently enrolled in CSE 351?
Twix,Pasta,Dogs,No
Hi-Chew,Nachos,Dogs,Yes
chocolate,Chicken caeser salad,Dogs,No
fruit candy,pizza,Cats,Yes
Kit Kat,Pasta,Dogs,No
KitKat,Burgers,Both,Yes
Skittles,Chinese foods,Dogs,No
Chocolate,Shaomai,Dogs,No
hi chews,paneer,Dogs,No
KitKat,grilled cheese and tomato soup,Cats,No
Reese's,Ramen,Dogs,No
Sour Patch Kids,Sushi,Dogs,Yes
Kit Kat,Thai food,Dogs,Yes
Sour patch kids,I don't have one.,Cats,No
Sour Patch,Curry,Cats,Yes
Twix,Sushi,Dogs,No
Twix,Sushi,Dogs,Yes
Lindor milk chocolate,Tomato lentil mix (Saaru),Both,No
Snickers,Pizza,Both,No
ferrero rocher,pasta,Both,Yes
Haribo,any spicy food,Cats,Yes
Sour Patch Watermelons,Sushi,Dogs,No
Hershey's bar,Steak,Cats,No
Nerds,Pizza with basil,Dogs,Yes
Sour Patch Kids,Thai Food,Dogs,Yes
peach rings,lobster roll,Both,Yes
KitKats,Salmon,Cats,Yes
Snickers,Pasta,Dogs,Yes
Caramels,Chicken Alfredo Pasta,Dogs,Yes
High Chews,Pasta,Cats,Yes
twix,anything with rice,Cats,No
Sour Patch,Chicken,Dogs,Yes
M & Ms,Noodles,Dogs,Yes
Hi-chew,Pasta,Dogs,No
Reese's,Pasta,Dogs,No
Smarties,Kebabs,Cats,Yes
Watermelon Jolly Ranchers,Pasta,Dogs,Yes
I don't like candy :),Steak,Both,Yes
M&M,Steak and Mashed Potatoes,Dogs,Yes
I'm more of a chocolate person :),Biryani,Dogs,Yes
Anything sour,Korean fried chicken,Cats,No
Starbursts,Steak,Dogs,Yes
Twix,Meat,Dogs,No
Guava Hard Candy,Chicken Alfredo,Both,Yes
Twix,Anything vaguely edible within the area (pasta),Cats,No
Nerd gummies bites,American burger and fries,Both,No
hawthorn flakes :P,pad see ew,Both,No
Milky Way,Sushi,Dogs,No
Hershey's Chocolate,Pizza,Both,No
Kit-Kat,Cantina Chicken Bowl @ the HUB,Cats,No
gummy bears,burrito,Dogs,Yes
Dark chocolate,Coconut braised catfish,Cats,Yes
m & m,steak,Both,Yes
Three Musketeers,Burrito,Cats,Yes
"I donâ€™t like candy, give me a chocolate chip cookie",Crab fried rice,Dogs,Yes
Snickers,Pizza,Dogs,No
Trader Joe's Toffee Chips,Hainanese Chicken Rice & Soup,Cats,Yes
Kit kat,Steak,Dogs,No
Sour Patch Kids,Sushi,Dogs,No
Heath bars,chongqing lazi chicken from the restaurant in my hometown that burned down,Cats,No
Hokkaido soft milk candy,pork katsu,Both,No
Hershey's,Hotpot,Dogs,Yes
nerd gummy clusters,noodle soup,Dogs,No
White Rabbit candy,hotpot,Cats,Yes
Crunch,Any korean food,Both,No
jolly ranchers,Halal chicken and rice,Cats,Yes
twix or milkyway,steak,Cats,Yes
Kit Kat,Pasta with cherry tomatoes,Cats,Yes
Mike and Ikes,Empanadas,Dogs,Yes
twix,sushi,Dogs,Yes
any chocolate with caramel,pasta,Both,Yes
Mike and Ike,Okra,Cats,Yes
Twix,Pizza,Dogs,No
Almond Joy,Pho,Dogs,Yes
Marzipan Chocolate,My mom's cooking yay,Both,No
Twix,Spaghetti and Meatballs in Meat Sauce,Cats,No
Tootsie Rolls,Hot Pot,Cats,No
Sweetart Ropes,Rigatoni,Cats,No
Snickers,pasta,Dogs,Yes
Reese's Pieces,Udon,Dogs,No
Starburst Jellybeans,Steak dinner.,Dogs,No
Kit-Kats,Panang Curry,Both,Yes
Hi-chews,Beef stew,Cats,Yes
sour strips,noodles,Cats,No
Brookside Chocolate Blueberries,Any kind of Chinese noodles,Cats,No
Don't know,Pasta,Both,No
Nerds gummies,Prlly a American burger and fries,Dogs,No
Airhead xtremes,Lan Zhou La Mian (Chinese hand pulled beef noodles),Dogs,No
Snickers,Soup dumplings,Cats,Yes
Twix,Pasta,Cats,No
Reese's Peanut Butter Cups,Chicken,Cats,Yes
KITKAT,Biriyani(Chicken),Both,Yes
snickers,BBQ,Cats,No
Twix,Cod w/ Rice,Dogs,No
Anything fruit,Anything Chinese/steak,Dogs,No
Twix,Chicken katsu,Cats,No
Hi Chews,KBBQ,Cats,No
